Nx=  24 Ny= 6 t= 0.000 J= 0.000 N_up=132 N_down=  0 M1= 1200 M2= 6000
     1     1    0.94234804    0.94234804
     1     2    0.94239260    1.88474064
     1     3    0.94242311    2.82716376
     1     4    0.94241462    3.76957838
     1     5    0.94237344    4.71195181
     1     6    0.94233096    5.65428277
     2     1    0.90583200    6.56011477
     2     2    0.90594009    7.46605486
     2     3    0.90597723    8.37203209
     2     4    0.90591399    9.27794609
     2     5    0.90585082   10.18379691
     2     6    0.90577494   11.08957185
     3     1    0.90461204   11.99418389
     3     2    0.90464303   12.89882692
     3     3    0.90466156   13.80348848
     3     4    0.90466443   14.70815291
     3     5    0.90464980   15.61280272
     3     6    0.90464445   16.51744716
     4     1    0.92301788   17.44046504
     4     2    0.92300167   18.36346671
     4     3    0.92302835   19.28649507
     4     4    0.92310275   20.20959782
     4     5    0.92314408   21.13274190
     4     6    0.92311178   22.05585368
     5     1    0.92553993   22.98139361
     5     2    0.92563187   23.90702548
     5     3    0.92564600   24.83267148
     5     4    0.92559221   25.75826370
     5     5    0.92550591   26.68376961
     5     6    0.92546690   27.60923651
     6     1    0.90917497   28.51841148
     6     2    0.90929322   29.42770470
     6     3    0.90934601   30.33705071
     6     4    0.90927898   31.24632969
     6     5    0.90914081   32.15547050
     6     6    0.90906786   33.06453836
     7     1    0.90622245   33.97076081
     7     2    0.90628260   34.87704342
     7     3    0.90639814   35.78344156
     7     4    0.90643576   36.68987732
     7     5    0.90635673   37.59623405
     7     6    0.90625846   38.50249251
     8     1    0.91982285   39.42231536
     8     2    0.91986756   40.34218293
     8     3    0.91998640   41.26216933
     8     4    0.92006079   42.18223012
     8     5    0.92002254   43.10225266
     8     6    0.91990733   44.02215999
     9     1    0.92141550   44.94357549
     9     2    0.92152764   45.86510314
     9     3    0.92158208   46.78668522
     9     4    0.92154107   47.70822629
     9     5    0.92143978   48.62966607
     9     6    0.92136137   49.55102743
    10     1    0.90860950   50.45963694
    10     2    0.90872691   51.36836385
    10     3    0.90878791   52.27715176
    10     4    0.90873304   53.18588480
    10     5    0.90860433   54.09448913
    10     6    0.90852312   55.00301226
    11     1    0.90840008   55.91141234
    11     2    0.90844984   56.81986217
    11     3    0.90856442   57.72842659
    11     4    0.90860510   58.63703169
    11     5    0.90853901   59.54557070
    11     6    0.90844277   60.45401347
    12     1    0.92109603   61.37510950
    12     2    0.92116338   62.29627288
    12     3    0.92127945   63.21755233
    12     4    0.92132493   64.13887726
    12     5    0.92127018   65.06014745
    12     6    0.92115253   65.98129998
    13     1    0.92046310   66.90176308
    13     2    0.92057752   67.82234061
    13     3    0.92063847   68.74297908
    13     4    0.92059718   69.66357625
    13     5    0.92049374   70.58407000
    13     6    0.92041724   71.50448724
    14     1    0.90787242   72.41235965
    14     2    0.90800151   73.32036116
    14     3    0.90809466   74.22845582
    14     4    0.90807361   75.13652943
    14     5    0.90794189   76.04447132
    14     6    0.90784577   76.95231710
    15     1    0.90965130   77.86196840
    15     2    0.90970954   78.77167794
    15     3    0.90981662   79.68149457
    15     4    0.90985480   80.59134937
    15     5    0.90981053   81.50115990
    15     6    0.90972368   82.41088358
    16     1    0.92250895   83.33339252
    16     2    0.92254961   84.25594213
    16     3    0.92262813   85.17857027
    16     4    0.92266707   86.10123734
    16     5    0.92264612   87.02388345
    16     6    0.92256713   87.94645058
    17     1    0.91976139   88.86621197
    17     2    0.91988065   89.78609262
    17     3    0.91993723   90.70602985
    17     4    0.91989514   91.62592499
    17     5    0.91977376   92.54569875
    17     6    0.91969754   93.46539630
    18     1    0.90636668   94.37176298
    18     2    0.90648371   95.27824669
    18     3    0.90661506   96.18486175
    18     4    0.90662213   97.09148388
    18     5    0.90646957   97.99795345
    18     6    0.90634867   98.90430212
    19     1    0.91047303   99.81477515
    19     2    0.91050439  100.72527954
    19     3    0.91066309  101.63594263
    19     4    0.91072984  102.54667247
    19     5    0.91069887  103.45737134
    19     6    0.91061346  104.36798480
    20     1    0.92671521  105.29470000
    20     2    0.92669695  106.22139695
    20     3    0.92674743  107.14814438
    20     4    0.92680033  108.07494471
    20     5    0.92685439  109.00179910
    20     6    0.92680192  109.92860102
    21     1    0.92340798  110.85200900
    21     2    0.92345284  111.77546183
    21     3    0.92341255  112.69887439
    21     4    0.92334410  113.62221849
    21     5    0.92331262  114.54553111
    21     6    0.92331622  115.46884733
    22     1    0.90509133  116.37393866
    22     2    0.90511883  117.27905749
    22     3    0.90514778  118.18420527
    22     4    0.90519332  119.08939860
    22     5    0.90516102  119.99455962
    22     6    0.90507112  120.89963073
    23     1    0.90677558  121.80640632
    23     2    0.90683761  122.71324393
    23     3    0.90692511  123.62016904
    23     4    0.90695660  124.52712564
    23     5    0.90695688  125.43408252
    23     6    0.90686075  126.34094327
    24     1    0.94313626  127.28407953
    24     2    0.94314684  128.22722637
    24     3    0.94320571  129.17043208
    24     4    0.94322872  130.11366080
    24     5    0.94319319  131.05685399
    24     6    0.94314601  132.00000000
 
Nx=  24 Ny= 6 t= 0.000 J= 0.000 N_up=132 N_down=  0 M1= 3200 M2= 8000
     1     1    0.94313418    0.94313418
     1     2    0.94315900    1.88629318
     1     3    0.94317289    2.82946607
     1     4    0.94316549    3.77263155
     1     5    0.94314724    4.71577879
     1     6    0.94313178    5.65891057
     2     1    0.90696682    6.56587739
     2     2    0.90701692    7.47289431
     2     3    0.90702636    8.37992067
     2     4    0.90699989    9.28692056
     2     5    0.90696533   10.19388589
     2     6    0.90694690   11.10083278
     3     1    0.90521102   12.00604380
     3     2    0.90523629   12.91128009
     3     3    0.90523895   13.81651904
     3     4    0.90523845   14.72175749
     3     5    0.90522964   15.62698713
     3     6    0.90522353   16.53221066
     4     1    0.92289690   17.45510756
     4     2    0.92291201   18.37801956
     4     3    0.92292046   19.30094003
     4     4    0.92293759   20.22387762
     4     5    0.92294010   21.14681772
     4     6    0.92291932   22.06973704
     5     1    0.92590307   22.99564011
     5     2    0.92594745   23.92158756
     5     3    0.92595009   24.84753764
     5     4    0.92592095   25.77345859
     5     5    0.92588085   26.69933944
     5     6    0.92586553   27.62520498
     6     1    0.91041627   28.53562125
     6     2    0.91046703   29.44608828
     6     3    0.91048480   30.35657308
     6     4    0.91045067   31.26702376
     6     5    0.91039422   32.17741798
     6     6    0.91037068   33.08778865
     7     1    0.90665789   33.99444655
     7     2    0.90669252   34.90113907
     7     3    0.90674152   35.80788059
     7     4    0.90675561   36.71463620
     7     5    0.90672292   37.62135912
     7     6    0.90667190   38.52803103
     8     1    0.91903430   39.44706533
     8     2    0.91906901   40.36613435
     8     3    0.91911901   41.28525336
     8     4    0.91914075   42.20439411
     8     5    0.91911466   43.12350877
     8     6    0.91905749   44.04256626
     9     1    0.92118558   44.96375184
     9     2    0.92123923   45.88499108
     9     3    0.92126617   46.80625725
     9     4    0.92124628   47.72750353
     9     5    0.92119771   48.64870124
     9     6    0.92115751   49.56985875
    10     1    0.90950042   50.47935918
    10     2    0.90955479   51.38891397
    10     3    0.90958501   52.29849897
    10     4    0.90956214   53.20806111
    10     5    0.90950740   54.11756852
    10     6    0.90946734   55.02703586
    11     1    0.90852577   55.93556163
    11     2    0.90856144   56.84412308
    11     3    0.90861537   57.75273845
    11     4    0.90863370   58.66137215
    11     5    0.90860066   59.56997281
    11     6    0.90854249   60.47851530
    12     1    0.91997118   61.39848648
    12     2    0.92001755   62.31850402
    12     3    0.92006744   63.23857146
    12     4    0.92008649   64.15865795
    12     5    0.92005541   65.07871336
    12     6    0.91999263   65.99870599
    13     1    0.91995271   66.91865870
    13     2    0.92001493   67.83867363
    13     3    0.92004735   68.75872098
    13     4    0.92003055   69.67875153
    13     5    0.91998245   70.59873398
    13     6    0.91993553   71.51866951
    14     1    0.90850929   72.42717881
    14     2    0.90856788   73.33574668
    14     3    0.90860186   74.24434854
    14     4    0.90858457   75.15293311
    14     5    0.90853133   76.06146444
    14     6    0.90849684   76.96996128
    15     1    0.90952489   77.87948617
    15     2    0.90956529   78.78905145
    15     3    0.90962082   79.69867227
    15     4    0.90964473   80.60831700
    15     5    0.90961509   81.51793209
    15     6    0.90956153   82.42749362
    16     1    0.92121700   83.34871063
    16     2    0.92125744   84.26996807
    16     3    0.92130704   85.19127511
    16     4    0.92132801   86.11260312
    16     5    0.92130161   87.03390473
    16     6    0.92124859   87.95515333
    17     1    0.91904863   88.87420196
    17     2    0.91910620   89.79330816
    17     3    0.91913325   90.71244141
    17     4    0.91911244   91.63155384
    17     5    0.91906310   92.55061694
    17     6    0.91902850   93.46964544
