 Nx=          24 Ny=           6 t=  0.000000000000000E+000 J=
  0.000000000000000E+000 N_up=         132 N_down=           0 M1=        3600 
 M2=       12000
     1     1    0.87969306    0.87969306
     1     2    0.87971347    1.75940653
     1     3    0.87971758    2.63912411
     1     4    0.87971448    3.51883859
     1     5    0.87970040    4.39853899
     1     6    0.87969497    5.27823396
     2     1    0.90174752    6.17998148
     2     2    0.90178024    7.08176172
     2     3    0.90176978    7.98353150
     2     4    0.90175326    8.88528476
     2     5    0.90173761    9.78702237
     2     6    0.90173153   10.68875390
     3     1    0.90761919   11.59637309
     3     2    0.90763617   12.50400926
     3     3    0.90762017   13.41162943
     3     4    0.90760433   14.31923376
     3     5    0.90760947   15.22684323
     3     6    0.90762937   16.13447260
     4     1    0.92609291   17.06056551
     4     2    0.92612310   17.98668862
     4     3    0.92610941   18.91279803
     4     4    0.92610145   19.83889948
     4     5    0.92609886   20.76499834
     4     6    0.92608036   21.69107870
     5     1    0.92508417   22.61616287
     5     2    0.92512614   23.54128901
     5     3    0.92513972   24.46642873
     5     4    0.92515877   25.39158751
     5     5    0.92516469   26.31675220
     5     6    0.92511542   27.24186762
     6     1    0.92684310   28.16871072
     6     2    0.92688693   29.09559765
     6     3    0.92688417   30.02248183
     6     4    0.92687453   30.94935636
     6     5    0.92685998   31.87621634
     6     6    0.92683028   32.80304661
     7     1    0.92258172   33.72562833
     7     2    0.92262753   34.64825587
     7     3    0.92262415   35.57088001
     7     4    0.92261339   36.49349341
     7     5    0.92260562   37.41609903
     7     6    0.92257397   38.33867299
     8     1    0.91979758   39.25847058
     8     2    0.91983601   40.17830659
     8     3    0.91983329   41.09813987
     8     4    0.91983060   42.01797047
     8     5    0.91983118   42.93780165
     8     6    0.91979295   43.85759460
     9     1    0.92153956   44.77913416
     9     2    0.92157284   45.70070701
     9     3    0.92157639   46.62228339
     9     4    0.92158465   47.54386804
     9     5    0.92158937   48.46545742
     9     6    0.92154380   49.38700121
    10     1    0.92427739   50.31127860
    10     2    0.92431561   51.23559421
    10     3    0.92431800   52.15991221
    10     4    0.92432076   53.08423296
    10     5    0.92432034   54.00855330
    10     6    0.92427611   54.93282941
    11     1    0.92358591   55.85641532
    11     2    0.92362813   56.78004346
    11     3    0.92362500   57.70366845
    11     4    0.92361925   58.62728770
    11     5    0.92361616   59.55090386
    11     6    0.92357957   60.47448343
    12     1    0.92086772   61.39535115
    12     2    0.92090705   62.31625820
    12     3    0.92090219   63.23716040
    12     4    0.92089748   64.15805788
    12     5    0.92089806   65.07895593
    12     6    0.92086227   65.99981821
    13     1    0.92086638   66.92068459
    13     2    0.92089901   67.84158359
    13     3    0.92089887   68.76248246
    13     4    0.92090356   69.68338602
    13     5    0.92090847   70.60429449
    13     6    0.92086689   71.52516138
    14     1    0.92358746   72.44874884
    14     2    0.92362035   73.37236919
    14     3    0.92362360   74.29599280
    14     4    0.92362997   75.21962277
    14     5    0.92363360   76.14325637
    14     6    0.92358840   77.06684477
    15     1    0.92428413   77.99112890
    15     2    0.92432883   78.91545773
    15     3    0.92432933   79.83978706
    15     4    0.92432668   80.76411374
    15     5    0.92432466   81.68843840
    15     6    0.92428288   82.61272128
    16     1    0.92155270   83.53427398
    16     2    0.92159885   84.45587283
    16     3    0.92159456   85.37746739
    16     4    0.92158702   86.29905441
    16     5    0.92158469   87.22063910
    16     6    0.92154687   88.14218598
    17     1    0.91980405   89.06199002
    17     2    0.91984170   89.98183172
    17     3    0.91984039   90.90167211
    17     4    0.91984273   91.82151484
    17     5    0.91984532   92.74136016
    17     6    0.91980797   93.66116813
    18     1    0.92258211   94.58375024
    18     2    0.92261361   95.50636385
    18     3    0.92262116   96.42898501
    18     4    0.92263165   97.35161666
    18     5    0.92263536   98.27425202
    18     6    0.92258972   99.19684174
    19     1    0.92683576  100.12367750
    19     2    0.92686536  101.05054287
    19     3    0.92687980  101.97742266
    19     4    0.92688966  102.90431232
    19     5    0.92689237  103.83120470
    19     6    0.92684856  104.75805326
    20     1    0.92511880  105.68317205
    20     2    0.92516799  106.60834004
    20     3    0.92516218  107.53350222
    20     4    0.92514328  108.45864550
    20     5    0.92512962  109.38377511
    20     6    0.92508761  110.30886273
    21     1    0.92608389  111.23494662
    21     2    0.92610238  112.16104899
    21     3    0.92610492  113.08715391
    21     4    0.92611283  114.01326674
    21     5    0.92612652  114.93939326
    21     6    0.92609630  115.86548956
    22     1    0.90763232  116.77312188
    22     2    0.90761236  117.68073424
    22     3    0.90760710  118.58834134
    22     4    0.90762270  119.49596404
    22     5    0.90763888  120.40360292
    22     6    0.90762207  121.31122498
    23     1    0.90173355  122.21295854
    23     2    0.90173937  123.11469791
    23     3    0.90175482  124.01645274
    23     4    0.90177132  124.91822405
    23     5    0.90178206  125.82000611
    23     6    0.90174950  126.72175561
    24     1    0.87969683  127.60145244
    24     2    0.87970202  128.48115446
    24     3    0.87971595  129.36087041
    24     4    0.87971920  130.24058961
    24     5    0.87971536  131.12030498
    24     6    0.87969502  132.00000000
 
 Nx=          24 Ny=           6 t=  0.000000000000000E+000 J=
  0.000000000000000E+000 N_up=         132 N_down=           0 M1=        3600 
 M2=       14000
     1     1    0.87969306    0.87969306
     1     2    0.87971347    1.75940653
     1     3    0.87971758    2.63912411
     1     4    0.87971448    3.51883859
     1     5    0.87970040    4.39853899
     1     6    0.87969497    5.27823396
     2     1    0.90174752    6.17998148
     2     2    0.90178024    7.08176172
     2     3    0.90176978    7.98353150
     2     4    0.90175326    8.88528476
     2     5    0.90173761    9.78702237
     2     6    0.90173153   10.68875390
     3     1    0.90761919   11.59637309
     3     2    0.90763617   12.50400926
     3     3    0.90762017   13.41162943
     3     4    0.90760433   14.31923376
     3     5    0.90760947   15.22684323
     3     6    0.90762937   16.13447260
     4     1    0.92609291   17.06056551
     4     2    0.92612310   17.98668862
     4     3    0.92610941   18.91279803
     4     4    0.92610145   19.83889948
     4     5    0.92609886   20.76499834
     4     6    0.92608036   21.69107870
     5     1    0.92508417   22.61616287
     5     2    0.92512614   23.54128901
     5     3    0.92513972   24.46642873
     5     4    0.92515877   25.39158751
     5     5    0.92516469   26.31675220
     5     6    0.92511542   27.24186762
     6     1    0.92684310   28.16871072
     6     2    0.92688693   29.09559765
     6     3    0.92688417   30.02248183
     6     4    0.92687453   30.94935636
     6     5    0.92685998   31.87621634
     6     6    0.92683028   32.80304661
     7     1    0.92258172   33.72562833
     7     2    0.92262753   34.64825587
     7     3    0.92262415   35.57088001
     7     4    0.92261339   36.49349341
     7     5    0.92260562   37.41609903
     7     6    0.92257397   38.33867299
     8     1    0.91979758   39.25847058
     8     2    0.91983601   40.17830659
     8     3    0.91983329   41.09813987
     8     4    0.91983060   42.01797047
     8     5    0.91983118   42.93780165
     8     6    0.91979295   43.85759460
     9     1    0.92153956   44.77913416
     9     2    0.92157284   45.70070701
     9     3    0.92157639   46.62228339
     9     4    0.92158465   47.54386804
     9     5    0.92158937   48.46545742
     9     6    0.92154380   49.38700121
    10     1    0.92427739   50.31127860
    10     2    0.92431561   51.23559421
    10     3    0.92431800   52.15991221
    10     4    0.92432076   53.08423296
    10     5    0.92432034   54.00855330
    10     6    0.92427611   54.93282941
    11     1    0.92358591   55.85641532
    11     2    0.92362813   56.78004346
    11     3    0.92362500   57.70366845
    11     4    0.92361925   58.62728770
    11     5    0.92361616   59.55090386
    11     6    0.92357957   60.47448343
    12     1    0.92086772   61.39535115
    12     2    0.92090705   62.31625820
    12     3    0.92090219   63.23716040
    12     4    0.92089748   64.15805788
    12     5    0.92089806   65.07895593
    12     6    0.92086227   65.99981821
    13     1    0.92086638   66.92068459
    13     2    0.92089901   67.84158359
    13     3    0.92089887   68.76248246
    13     4    0.92090356   69.68338602
    13     5    0.92090847   70.60429449
    13     6    0.92086689   71.52516138
    14     1    0.92358746   72.44874884
    14     2    0.92362035   73.37236919
    14     3    0.92362360   74.29599280
    14     4    0.92362997   75.21962277
    14     5    0.92363360   76.14325637
    14     6    0.92358840   77.06684477
    15     1    0.92428413   77.99112890
    15     2    0.92432883   78.91545773
    15     3    0.92432933   79.83978706
    15     4    0.92432668   80.76411374
    15     5    0.92432466   81.68843840
    15     6    0.92428288   82.61272128
    16     1    0.92155270   83.53427398
    16     2    0.92159885   84.45587283
    16     3    0.92159456   85.37746739
    16     4    0.92158702   86.29905441
    16     5    0.92158469   87.22063910
    16     6    0.92154687   88.14218598
    17     1    0.91980405   89.06199002
    17     2    0.91984170   89.98183172
    17     3    0.91984039   90.90167211
    17     4    0.91984273   91.82151484
    17     5    0.91984532   92.74136016
    17     6    0.91980797   93.66116813
    18     1    0.92258211   94.58375024
    18     2    0.92261361   95.50636385
    18     3    0.92262116   96.42898501
    18     4    0.92263165   97.35161666
    18     5    0.92263536   98.27425202
    18     6    0.92258972   99.19684174
    19     1    0.92683576  100.12367750
    19     2    0.92686536  101.05054287
    19     3    0.92687980  101.97742266
    19     4    0.92688966  102.90431232
    19     5    0.92689237  103.83120470
    19     6    0.92684856  104.75805326
    20     1    0.92511880  105.68317205
    20     2    0.92516799  106.60834004
    20     3    0.92516218  107.53350222
    20     4    0.92514328  108.45864550
    20     5    0.92512962  109.38377511
    20     6    0.92508761  110.30886273
    21     1    0.92608389  111.23494662
    21     2    0.92610238  112.16104899
    21     3    0.92610492  113.08715391
    21     4    0.92611283  114.01326674
    21     5    0.92612652  114.93939326
    21     6    0.92609630  115.86548956
    22     1    0.90763232  116.77312188
    22     2    0.90761236  117.68073424
    22     3    0.90760710  118.58834134
    22     4    0.90762270  119.49596404
    22     5    0.90763888  120.40360292
    22     6    0.90762207  121.31122498
    23     1    0.90173355  122.21295854
    23     2    0.90173937  123.11469791
    23     3    0.90175482  124.01645274
    23     4    0.90177132  124.91822405
    23     5    0.90178206  125.82000611
    23     6    0.90174950  126.72175561
    24     1    0.87969683  127.60145244
    24     2    0.87970202  128.48115446
    24     3    0.87971595  129.36087041
    24     4    0.87971920  130.24058961
    24     5    0.87971536  131.12030498
    24     6    0.87969502  132.00000000
 
 Nx=          36 Ny=           6 t=  0.000000000000000E+000 J=
  0.000000000000000E+000 N_up=         198 N_down=           0 M1=        3600 
 M2=       14000
     1     1    0.87829266    0.87829266
     1     2    0.87830763    1.75660029
     1     3    0.87831021    2.63491050
     1     4    0.87830782    3.51321832
     1     5    0.87829734    4.39151566
     1     6    0.87829329    5.26980895
     2     1    0.90053931    6.17034825
     2     2    0.90056548    7.07091374
     2     3    0.90055590    7.97146964
     2     4    0.90054222    8.87201186
     2     5    0.90053022    9.77254208
     2     6    0.90052647   10.67306854
     3     1    0.90613174   11.57920028
     3     2    0.90614507   12.48534535
     3     3    0.90613001   13.39147536
     3     4    0.90611604   14.29759140
     3     5    0.90611922   15.20371062
     3     6    0.90613727   16.10984789
     4     1    0.92444385   17.03429174
     4     2    0.92446958   17.95876132
     4     3    0.92445650   18.88321782
     4     4    0.92444811   19.80766593
     4     5    0.92444523   20.73211116
     4     6    0.92443147   21.65654263
     5     1    0.92370349   22.58024612
     5     2    0.92373882   23.50398494
     5     3    0.92374705   24.42773199
     5     4    0.92375885   25.35149084
     5     5    0.92376243   26.27525327
     5     6    0.92372471   27.19897799
     6     1    0.92479626   28.12377425
     6     2    0.92483512   29.04860937
     6     3    0.92482990   29.97343927
     6     4    0.92481834   30.89825761
     6     5    0.92480544   31.82306305
     6     6    0.92478220   32.74784525
     7     1    0.92004795   33.66789320
     7     2    0.92008786   34.58798106
     7     3    0.92008251   35.50806357
     7     4    0.92007250   36.42813606
     7     5    0.92006655   37.34820262
     7     6    0.92003948   38.26824210
     8     1    0.91771565   39.18595775
     8     2    0.91774858   40.10370633
     8     3    0.91774598   41.02145231
     8     4    0.91774472   41.93919703
     8     5    0.91774578   42.85694282
     8     6    0.91771146   43.77465428
     9     1    0.92006793   44.69472221
     9     2    0.92009766   45.61481987
     9     3    0.92009999   46.53491986
     9     4    0.92010614   47.45502600
     9     5    0.92011036   48.37513636
     9     6    0.92006946   49.29520582
    10     1    0.92235422   50.21756004
    10     2    0.92238930   51.13994934
    10     3    0.92238861   52.06233795
    10     4    0.92238855   52.98472650
    10     5    0.92238795   53.90711445
    10     6    0.92235056   54.82946502
    11     1    0.92088422   55.75034923
    11     2    0.92092147   56.67127070
    11     3    0.92091615   57.59218686
    11     4    0.92091049   58.51309734
    11     5    0.92090888   59.43400622
    11     6    0.92087714   60.35488336
    12     1    0.91864300   61.27352636
    12     2    0.91867660   62.19220296
    12     3    0.91867202   63.11087498
    12     4    0.91866970   64.02954468
    12     5    0.91867150   64.94821618
    12     6    0.91863876   65.86685494
    13     1    0.91964925   66.78650419
    13     2    0.91967981   67.70618400
    13     3    0.91967910   68.62586310
    13     4    0.91968242   69.54554553
    13     5    0.91968649   70.46523202
    13     6    0.91964813   71.38488015
    14     1    0.92186752   72.30674766
    14     2    0.92190099   73.22864865
    14     3    0.92190058   74.15054923
    14     4    0.92190183   75.07245106
    14     5    0.92190368   75.99435474
    14     6    0.92186518   76.91621992
    15     1    0.92121262   77.83743254
    15     2    0.92124961   78.75868215
    15     3    0.92124586   79.67992801
    15     4    0.92124237   80.60117038
    15     5    0.92124186   81.52241224
    15     6    0.92120686   82.44361910
    16     1    0.91896386   83.36258296
    16     2    0.91899886   84.28158182
    16     3    0.91899475   85.20057658
    16     4    0.91899249   86.11956907
    16     5    0.91899392   87.03856300
    16     6    0.91895947   87.95752246
    17     1    0.91926895   88.87679141
    17     2    0.91930034   89.79609176
    17     3    0.91929926   90.71539102
    17     4    0.91930193   91.63469295
    17     5    0.91930580   92.55399875
    17     6    0.91926758   93.47326633
    18     1    0.92151613   94.39478246
    18     2    0.92154896   95.31633142
    18     3    0.92154909   96.23788050
    18     4    0.92155147   97.15943197
    18     5    0.92155455   98.08098652
    18     6    0.92151487   99.00250139
    19     1    0.92153211   99.92403350
    19     2    0.92156858  100.84560208
    19     3    0.92156578  101.76716786
    19     4    0.92156376  102.68873163
    19     5    0.92156400  103.61029563
    19     6    0.92152733  104.53182296
    20     1    0.91928233  105.45110529
    20     2    0.91931792  106.37042321
    20     3    0.91931422  107.28973743
    20     4    0.91931172  108.20904915
    20     5    0.91931311  109.12836226
    20     6    0.91927844  110.04764069
    21     1    0.91893727  110.96657797
    21     2    0.91896874  111.88554671
    21     3    0.91896755  112.80451426
    21     4    0.91897011  113.72348436
    21     5    0.91897452  114.64245889
    21     6    0.91893694  115.56139583
    22     1    0.92117397  116.48256980
    22     2    0.92120537  117.40377517
    22     3    0.92120625  118.32498142
    22     4    0.92121028  119.24619170
    22     5    0.92121464  120.16740635
    22     6    0.92117453  121.08858088
    23     1    0.92185910  122.01043998
    23     2    0.92189461  122.93233459
    23     3    0.92189343  123.85422802
    23     4    0.92189292  124.77612094
    23     5    0.92189399  125.69801493
    23     6    0.92185661  126.61987154
    24     1    0.91964694  127.53951848
    24     2    0.91968380  128.45920228
    24     3    0.91968067  129.37888295
    24     4    0.91967871  130.29856166
    24     5    0.91967924  131.21824090
    24     6    0.91964462  132.13788552
    25     1    0.91860021  133.05648573
    25     2    0.91863373  133.97511946
    25     3    0.91863245  134.89375191
    25     4    0.91863476  135.81238668
    25     5    0.91863921  136.73102588
    25     6    0.91860222  137.64962811
    26     1    0.92081726  138.57044536
    26     2    0.92084923  139.49129459
    26     3    0.92085008  140.41214467
    26     4    0.92085482  141.33299949
    26     5    0.92086099  142.25386048
    26     6    0.92082339  143.17468387
    27     1    0.92230703  144.09699089
    27     2    0.92234465  145.01933554
    27     3    0.92234554  145.94168108
    27     4    0.92234609  146.86402717
    27     5    0.92234720  147.78637437
    27     6    0.92231118  148.70868555
    28     1    0.92003288  149.62871843
    28     2    0.92007403  150.54879246
    28     3    0.92006995  151.46886241
    28     4    0.92006398  152.38892639
    28     5    0.92006195  153.30898834
    28     6    0.92003157  154.22901991
    29     1    0.91764282  155.14666273
    29     2    0.91767738  156.06434011
    29     3    0.91767642  156.98201653
    29     4    0.91767779  157.89969432
    29     5    0.91768045  158.81737477
    29     6    0.91764703  159.73502180
    30     1    0.91994589  160.65496769
    30     2    0.91997305  161.57494075
    30     3    0.91997916  162.49491991
    30     4    0.91998932  163.41490923
    30     5    0.91999473  164.33490396
    30     6    0.91995431  165.25485828
    31     1    0.92470197  166.17956025
    31     2    0.92472528  167.10428554
    31     3    0.92473834  168.02902388
    31     4    0.92474993  168.95377381
    31     5    0.92475531  169.87852911
    31     6    0.92471606  170.80324518
    32     1    0.92367515  171.72692032
    32     2    0.92371290  172.65063323
    32     3    0.92370930  173.57434253
    32     4    0.92369762  174.49804015
    32     5    0.92368957  175.42172972
    32     6    0.92365384  176.34538356
    33     1    0.92435358  177.26973714
    33     2    0.92436744  178.19410458
    33     3    0.92437047  179.11847505
    33     4    0.92437902  180.04285407
    33     5    0.92439224  180.96724631
    33     6    0.92436612  181.89161243
    34     1    0.90605982  182.79767225
    34     2    0.90604162  183.70371387
    34     3    0.90603872  184.60975259
    34     4    0.90605296  185.51580555
    34     5    0.90606782  186.42187337
    34     6    0.90605421  187.32792759
    35     1    0.90045224  188.22837983
    35     2    0.90045632  189.12883615
    35     3    0.90046855  190.02930469
